vendor,generation,gpu_name,launch_year,nominal_price,real_price_2024
AMD,RX 6000,RX 6800 XT,2020,649.0,800.87
AMD,RX 6000,RX 6900 XT,2020,999.0,1232.77
AMD,RX 6000,GEN_AVG,2020,824.0,1016.8199999999999
AMD,RX 7000,RX 7900 XT,2022,899.0,981.71
AMD,RX 7000,RX 7900 XTX,2022,999.0,1090.91
AMD,RX 7000,GEN_AVG,2022,949.0,1036.31
Nvidia,RTX 2000,RTX 2080,2018,699.0,889.13
Nvidia,RTX 2000,RTX 2080 Ti,2018,999.0,1270.73
Nvidia,RTX 2000,GEN_AVG,2018,849.0,1079.93
Nvidia,RTX 2000,RTX 2080 Super,2019,699.0,873.05
Nvidia,RTX 2000,GEN_AVG,2019,699.0,873.05
Nvidia,RTX 3000,RTX 3080,2020,699.0,862.57
Nvidia,RTX 3000,RTX 3090,2020,1499.0,1849.77
Nvidia,RTX 3000,GEN_AVG,2020,1099.0,1356.17
Nvidia,RTX 3000,RTX 3080 Ti,2021,1199.0,1413.62
Nvidia,RTX 3000,GEN_AVG,2021,1199.0,1413.62
Nvidia,RTX 4000,RTX 4080,2022,1199.0,1309.31
Nvidia,RTX 4000,RTX 4090,2022,1599.0,1746.11
Nvidia,RTX 4000,GEN_AVG,2022,1399.0,1527.71
Nvidia,RTX 4000,RTX 4080 Super,2024,999.0,999.0
Nvidia,RTX 4000,GEN_AVG,2024,999.0,999.0
Nvidia,RTX 5000,RTX 5080,2025,999.0,983.02
Nvidia,RTX 5000,RTX 5090,2025,1999.0,1967.02
Nvidia,RTX 5000,GEN_AVG,2025,1499.0,1475.02
