vendor,generation,gen_launch_year,ppd_total,layer,ppd_value,layer_label,stack_order
AMD,RX 5000,2019,0.1675,ppd_base,0.1675,1 Raw performance,1
AMD,RX 6000,2020,0.1873,ppd_base,0.1498,1 Raw performance,1
AMD,RX 7000,2022,0.3224,ppd_base,0.1954,1 Raw performance,1
AMD,RX 9000,2025,0.5053,ppd_base,0.2888,1 Raw performance,1
Intel,Arc A,2022,0.242,ppd_base,0.2016,1 Raw performance,1
Intel,Arc B,2024,0.3977,ppd_base,0.2946,1 Raw performance,1
Nvidia,RTX 2000,2018,0.117,ppd_base,0.1063,1 Raw performance,1
Nvidia,RTX 3000,2020,0.162,ppd_base,0.1246,1 Raw performance,1
Nvidia,RTX 4000,2022,0.2887,ppd_base,0.1699,1 Raw performance,1
Nvidia,RTX 5000,2025,0.4285,ppd_base,0.2142,1 Raw performance,1
AMD,RX 5000,2019,0.1675,ppd_gain_upscaling,0.0,2 Upscaling quality gain,2
AMD,RX 6000,2020,0.1873,ppd_gain_upscaling,0.0375,2 Upscaling quality gain,2
AMD,RX 7000,2022,0.3224,ppd_gain_upscaling,0.0488,2 Upscaling quality gain,2
AMD,RX 9000,2025,0.5053,ppd_gain_upscaling,0.1011,2 Upscaling quality gain,2
Intel,Arc A,2022,0.242,ppd_gain_upscaling,0.0403,2 Upscaling quality gain,2
Intel,Arc B,2024,0.3977,ppd_gain_upscaling,0.1031,2 Upscaling quality gain,2
Nvidia,RTX 2000,2018,0.117,ppd_gain_upscaling,0.0106,2 Upscaling quality gain,2
Nvidia,RTX 3000,2020,0.162,ppd_gain_upscaling,0.0374,2 Upscaling quality gain,2
Nvidia,RTX 4000,2022,0.2887,ppd_gain_upscaling,0.051,2 Upscaling quality gain,2
Nvidia,RTX 5000,2025,0.4285,ppd_gain_upscaling,0.075,2 Upscaling quality gain,2
AMD,RX 5000,2019,0.1675,ppd_gain_framegen,0.0,3 Frame Gen gain (artificial frames),3
AMD,RX 6000,2020,0.1873,ppd_gain_framegen,0.0,3 Frame Gen gain (artificial frames),3
AMD,RX 7000,2022,0.3224,ppd_gain_framegen,0.0782,3 Frame Gen gain (artificial frames),3
AMD,RX 9000,2025,0.5053,ppd_gain_framegen,0.1155,3 Frame Gen gain (artificial frames),3
Intel,Arc A,2022,0.242,ppd_gain_framegen,0.0,3 Frame Gen gain (artificial frames),3
Intel,Arc B,2024,0.3977,ppd_gain_framegen,0.0,3 Frame Gen gain (artificial frames),3
Nvidia,RTX 2000,2018,0.117,ppd_gain_framegen,0.0,3 Frame Gen gain (artificial frames),3
Nvidia,RTX 3000,2020,0.162,ppd_gain_framegen,0.0,3 Frame Gen gain (artificial frames),3
Nvidia,RTX 4000,2022,0.2887,ppd_gain_framegen,0.0679,3 Frame Gen gain (artificial frames),3
Nvidia,RTX 5000,2025,0.4285,ppd_gain_framegen,0.1392,3 Frame Gen gain (artificial frames),3
