vendor,component,series_label,year,perf_index_2019_100
AMD,GPU,GPU: AMD Flagship (1440p raster),2020,100.0
AMD,GPU,GPU: AMD Flagship (1440p raster),2022,121.6
Nvidia,GPU,GPU: Nvidia Flagship (1440p raster),2018,102.3
Nvidia,GPU,GPU: Nvidia Flagship (1440p raster),2019,100.0
Nvidia,GPU,GPU: Nvidia Flagship (1440p raster),2020,122.4
Nvidia,GPU,GPU: Nvidia Flagship (1440p raster),2021,127.6
Nvidia,GPU,GPU: Nvidia Flagship (1440p raster),2022,196.6
Nvidia,GPU,GPU: Nvidia Flagship (1440p raster),2024,180.5
Nvidia,GPU,GPU: Nvidia Flagship (1440p raster),2025,252.9
AMD,CPU,CPU: AMD Flagship (single-thread),2019,100.0
AMD,CPU,CPU: AMD Flagship (single-thread),2020,145.0
AMD,CPU,CPU: AMD Flagship (single-thread),2022,185.0
AMD,CPU,CPU: AMD Flagship (single-thread),2024,210.0
Intel,CPU,CPU: Intel Flagship (single-thread),2018,100.0
Intel,CPU,CPU: Intel Flagship (single-thread),2020,104.7
Intel,CPU,CPU: Intel Flagship (single-thread),2021,131.3
Intel,CPU,CPU: Intel Flagship (single-thread),2022,160.7
Intel,CPU,CPU: Intel Flagship (single-thread),2023,164.5
Intel,CPU,CPU: Intel Flagship (single-thread),2024,163.6
